POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
202-02163,202-02160,3,Black,MS,N,N,SFMTA,ON,0,216,02ND ST,135000,Area 5,Downtown,"(37.7863506013, -122.3978440982)"
202-02162,202-02160,2,Black,MS,N,N,SFMTA,ON,0,216,02ND ST,135000,Area 5,Downtown,"(37.7863586982, -122.3978543018)"
202-02146,202-02140,6,Black,MS,N,N,SFMTA,ON,0,214,02ND ST,135000,Area 5,Downtown,"(37.7863721986, -122.3978711997)"
202-02145,202-02140,5,Black,MS,N,N,SFMTA,ON,0,214,02ND ST,135000,Area 5,Downtown,"(37.7863789991, -122.3978796990)"
202-02144,202-02140,4,Black,MS,N,N,SFMTA,ON,0,214,02ND ST,135000,Area 5,Downtown,"(37.7863857997, -122.3978881982)"
202-02143,202-02140,3,Black,MS,N,N,SFMTA,ON,0,214,02ND ST,135000,Area 5,Downtown,"(37.7863915999, -122.3978954011)"
202-02142,202-02140,2,Black,MS,N,N,SFMTA,ON,0,214,02ND ST,135000,Area 5,Downtown,"(37.7863999986, -122.3979059008)"
463-00414,463-00410,4,Black,MS,N,N,SFMTA,ON,0,41,HAWTHORNE ST,6809000,Area 5,Downtown,"(37.7848501009, -122.3979650994)"
463-00413,463-00410,3,Black,MS,N,N,SFMTA,ON,0,41,HAWTHORNE ST,6809000,Area 5,Downtown,"(37.7848568008, -122.3979736992)"
463-00412,463-00410,2,Black,MS,N,N,SFMTA,ON,0,41,HAWTHORNE ST,6809000,Area 5,Downtown,"(37.7848628973, -122.3979812988)"
463-00396,463-00390,6,Black,MS,N,N,SFMTA,ON,0,39,HAWTHORNE ST,6809000,Area 5,Downtown,"(37.7848938991, -122.3980204982)"
463-00397,463-00390,7,Black,MS,N,N,SFMTA,ON,0,39,HAWTHORNE ST,6809000,Area 5,Downtown,"(37.7848851987, -122.3980094005)"
463-00398,463-00390,8,Black,MS,N,N,SFMTA,ON,0,39,HAWTHORNE ST,6809000,Area 5,Downtown,"(37.7848771018, -122.3979992026)"
463-00395,463-00390,5,Black,MS,N,N,SFMTA,ON,0,39,HAWTHORNE ST,6809000,Area 5,Downtown,"(37.7849012976, -122.3980298021)"
700-16690,-,0,Grey,SS,N,N,SFMTA,ON,0,1669,VALENCIA ST,13077000,Area 3,,"(37.7462030005, -122.4199861025)"
324-05073,324-05070,3,Black,MS,N,N,SFMTA,ON,0,507,BATTERY ST,2760000,Area 5,Downtown,"(37.7961504989, -122.4006307011)"
324-05072,324-05070,2,Black,MS,N,N,SFMTA,ON,0,507,BATTERY ST,2760000,Area 5,Downtown,"(37.7961396025, -122.4006284994)"
324-05057,324-05050,7,Black,MS,N,N,SFMTA,ON,0,505,BATTERY ST,2760000,Area 5,Downtown,"(37.7961202011, -122.4006244984)"
324-05056,324-05050,6,Black,MS,N,N,SFMTA,ON,0,505,BATTERY ST,2760000,Area 5,Downtown,"(37.7961127021, -122.4006230009)"
324-05055,324-05050,5,Black,MS,N,N,SFMTA,ON,0,505,BATTERY ST,2760000,Area 5,Downtown,"(37.7961042979, -122.4006213021)"
324-05054,324-05050,4,Black,MS,N,N,SFMTA,ON,0,505,BATTERY ST,2760000,Area 5,Downtown,"(37.7960907974, -122.4006185026)"
324-05053,324-05050,3,Black,MS,N,N,SFMTA,ON,0,505,BATTERY ST,2760000,Area 5,Downtown,"(37.7960831978, -122.4006169994)"
324-05052,324-05050,2,Black,MS,N,N,SFMTA,ON,0,505,BATTERY ST,2760000,Area 5,Downtown,"(37.7960740001, -122.4006150995)"
606-15343,606-15340,3,Black,MS,N,N,SFMTA,ON,0,1534,PINE ST,10477000,MC3,,"(37.7895630998, -122.4214795006)"
606-15342,606-15340,2,Black,MS,N,N,SFMTA,ON,0,1534,PINE ST,10477000,MC3,,"(37.7895645973, -122.4214673021)"
606-15285,606-15280,5,Black,MS,N,N,SFMTA,ON,0,1528,PINE ST,10477000,MC3,,"(37.7895850995, -122.4213060008)"
606-15284,606-15280,4,Black,MS,N,N,SFMTA,ON,0,1528,PINE ST,10477000,MC3,,"(37.7895866976, -122.4212937017)"
606-15283,606-15280,3,Black,MS,N,N,SFMTA,ON,0,1528,PINE ST,10477000,MC3,,"(37.7895882008, -122.4212814977)"
606-15282,606-15280,2,Black,MS,N,N,SFMTA,ON,0,1528,PINE ST,10477000,MC3,,"(37.7895896983, -122.4212699027)"
606-15204,606-15200,4,Black,MS,N,N,SFMTA,ON,0,1520,PINE ST,10477000,MC3,,"(37.7896066018, -122.4211365019)"
606-15203,606-15200,3,Black,MS,N,N,SFMTA,ON,0,1520,PINE ST,10477000,MC3,,"(37.7896083006, -122.4211231020)"
606-15202,606-15200,2,Black,MS,N,N,SFMTA,ON,0,1520,PINE ST,10477000,MC3,,"(37.7896098987, -122.4211103001)"
606-15186,606-15180,6,Black,MS,N,N,SFMTA,ON,0,1518,PINE ST,10477000,MC3,,"(37.7896127989, -122.4210876019)"
606-15185,606-15180,5,Black,MS,N,N,SFMTA,ON,0,1518,PINE ST,10477000,MC3,,"(37.7896144026, -122.4210747999)"
606-15184,606-15180,4,Black,MS,N,N,SFMTA,ON,0,1518,PINE ST,10477000,MC3,,"(37.7896159002, -122.4210631994)"
606-15183,606-15180,3,Black,MS,N,N,SFMTA,ON,0,1518,PINE ST,10477000,MC3,,"(37.7896173027, -122.4210521017)"
606-15182,606-15180,2,Black,MS,N,N,SFMTA,ON,0,1518,PINE ST,10477000,MC3,,"(37.7896188003, -122.4210405012)"
563-01034,563-01030,4,Black,MS,N,N,SFMTA,ON,0,103,MCALLISTER ST,8890000,MC2,,"(37.7808375039, -122.4138934147)"
563-01033,563-01030,3,Black,MS,N,N,SFMTA,ON,0,103,MCALLISTER ST,8890000,MC2,,"(37.7808389065, -122.4138822164)"
563-01032,563-01030,2,Black,MS,N,N,SFMTA,ON,0,103,MCALLISTER ST,8890000,MC2,,"(37.7808406052, -122.4138683192)"
563-01015,563-01010,5,Black,MS,N,N,SFMTA,ON,0,101,MCALLISTER ST,8890000,MC2,,"(37.7808433042, -122.4138466157)"
563-01014,563-01010,4,Black,MS,N,N,SFMTA,ON,0,101,MCALLISTER ST,8890000,MC2,,"(37.7808447068, -122.4138356186)"
563-01013,563-01010,3,Black,MS,N,N,SFMTA,ON,0,101,MCALLISTER ST,8890000,MC2,,"(37.7808462043, -122.4138233196)"
563-01012,563-01010,2,Black,MS,N,N,SFMTA,ON,0,101,MCALLISTER ST,8890000,MC2,,"(37.7808477019, -122.4138111156)"
204-03030,-,0,Black,SS,N,N,SFMTA,ON,0,303,04TH ST,256000,Area 5,South Embarcadero,"(37.7819648989, -122.4009378978)"
204-03050,-,0,Black,SS,N,N,SFMTA,ON,0,305,04TH ST,256000,Area 5,South Embarcadero,"(37.7819519014, -122.4009214972)"
204-03070,-,0,Black,SS,N,N,SFMTA,ON,0,307,04TH ST,256000,Area 5,South Embarcadero,"(37.7819383004, -122.4009043981)"
445-05166,445-05160,6,Black,MS,N,N,SFMTA,ON,0,516,GREEN ST,6452000,MC3,,"(37.7996710994, -122.4080881027)"
445-05165,445-05160,5,Black,MS,N,N,SFMTA,ON,0,516,GREEN ST,6452000,MC3,,"(37.7996726026, -122.4080762004)"
445-05164,445-05160,4,Black,MS,N,N,SFMTA,ON,0,516,GREEN ST,6452000,MC3,,"(37.7996741001, -122.4080643986)"
684-04094,684-04090,4,Grey,MS,Y,N,SFMTA,ON,0,409,TOWNSEND ST,12664000,Area 3,,"(37.7750172054, -122.3974026181)"
684-04095,684-04090,5,Grey,MS,Y,N,SFMTA,ON,0,409,TOWNSEND ST,12664000,Area 3,,"(37.7749755026, -122.3974557146)"
684-04096,684-04090,6,Grey,MS,Y,N,SFMTA,ON,0,411,TOWNSEND ST,12664000,Area 3,,"(37.7749275983, -122.3975166005)"
684-04097,684-04090,7,Grey,MS,Y,N,SFMTA,ON,0,413,TOWNSEND ST,12664000,Area 3,,"(37.7748759993, -122.3975821973)"
